"ageID","sourceTypeID","survivalRate","relativeMAR","functioningACFraction","functioningACFractionCV"
"5","42","0.980000019","0.849933556","0.99000001","0"
"6","42","0.980000019","0.823373157","0.99000001","0"
"7","42","0.970000029","0.796812758","0.99000001","0"
"8","42","0.970000029","0.771580285","0.980000019","0"
"9","42","0.970000029","0.74634789","0.980000019","0"
"10","42","0.959999979","0.723771582","0.980000019","0"
"11","42","0.959999979","0.699867192","0.980000019","0"
"12","42","0.949999988","0.677290805","0.980000019","0"
"13","42","0.949999988","0.656042462","0.959999979","0"
"14","42","0.949999988","0.634794119","0.959999979","0"
"15","42","0.939999998","0.61487382","0.959999979","0"
"16","42","0.939999998","0.594953521","0.959999979","0"
"17","42","0.930000007","0.576361186","0.959999979","0"
"18","42","0.930000007","0.557768891","0.949999988","0"
"19","42","0.920000017","0.54050464","0.949999988","0"
"20","42","0.920000017","0.523240349","0.949999988","0"
"21","42","0.920000017","0.505976098","0.949999988","0"
"22","42","0.910000026","0.490039811","0.949999988","0"
"23","42","0.910000026","0.474103564","0.949999988","0"
"24","42","0.910000026","0.45949532","0.949999988","0"
"25","42","0.899999976","0.444887117","0.949999988","0"
"26","42","0.899999976","0.430278874","0.949999988","0"
"27","42","0.899999976","0.416998674","0.949999988","0"
"28","42","0.889999986","0.403718435","0.949999988","0"
"29","42","0.889999986","0.390438236","0.949999988","0"
"30","42","0.300000012","0.37848604","0.949999988","0"
"0","43","1","0.343891997","1","0"
"1","43","1","0.332931274","1","0"
"2","43","1","0.322427268","1","0"
"3","43","1","0.311923289","1","0"
"4","43","0.99000001","0.301875973","0.99000001","0"
"5","43","0.980000019","0.292285347","0.99000001","0"
"6","43","0.980000019","0.283151439","0.99000001","0"
"7","43","0.970000029","0.27401753","0.99000001","0"
"8","43","0.970000029","0.265340284","0.980000019","0"
"9","43","0.970000029","0.256663067","0.980000019","0"
"10","43","0.959999979","0.248899254","0.980000019","0"
"11","43","0.959999979","0.240678725","0.980000019","0"
"12","43","0.949999988","0.232914888","0.980000019","0"
"13","43","0.949999988","0.225607752","0.959999979","0"
"14","43","0.949999988","0.218300617","0.959999979","0"
"15","43","0.939999998","0.211450186","0.959999979","0"
"16","43","0.939999998","0.204599754","0.959999979","0"
"17","43","0.930000007","0.198205998","0.959999979","0"
"18","43","0.930000007","0.191812258","0.949999988","0"
"19","43","0.920000017","0.18587522","0.949999988","0"
"20","43","0.920000017","0.179938169","0.949999988","0"
"21","43","0.920000017","0.17400113","0.949999988","0"
"22","43","0.910000026","0.168520769","0.949999988","0"
"23","43","0.910000026","0.163040421","0.949999988","0"
"24","43","0.910000026","0.158016764","0.949999988","0"
"25","43","0.899999976","0.152993119","0.949999988","0"
"26","43","0.899999976","0.147969461","0.949999988","0"
"27","43","0.899999976","0.143402507","0.949999988","0"
"28","43","0.889999986","0.138835539","0.949999988","0"
"29","43","0.889999986","0.134268585","0.949999988","0"
"30","43","0.300000012","0.13015832","0.949999988","0"
"0","51","1","0.821103455","1","0"
"1","51","1","0.821103455","1","0"
"2","51","1","0.821103455","1","0"
"3","51","1","0.821103455","1","0"
"4","51","0.99000001","0.784400633","0.99000001","0"
"5","51","0.980000019","0.747697811","0.99000001","0"
