"sourceTypeID","yearID","ageID","ageFraction"
"54","2051","18","0.0270208554132713"
"54","2051","19","0.0259613363024535"
"54","2051","20","0.0247940083315059"
"54","2051","21","0.023849355217285"
"54","2051","22","0.0230974957981866"
"54","2051","23","0.0221709257082607"
"54","2051","24","0.0210559226834561"
"54","2051","25","0.0198153187473005"
"54","2051","26","0.0185276213464107"
"54","2051","27","0.0172132444946417"
"54","2051","28","0.015827862363954"
"54","2051","29","0.0144331365997085"
"54","2051","30","0.0664686612326881"
"54","2052","0","0.0438780529774993"
"54","2052","1","0.0436446876910621"
"54","2052","2","0.043224190611341"
"54","2052","3","0.0427414175261477"
"54","2052","4","0.0424924502389497"
"54","2052","5","0.0421130130330829"
"54","2052","6","0.0413442927252017"
"54","2052","7","0.040694155555999"
"54","2052","8","0.0397795754573056"
"54","2052","9","0.0388637557167498"
"54","2052","10","0.0377949207421674"
"54","2052","11","0.0364647020746727"
"54","2052","12","0.0351098761276959"
"54","2052","13","0.0334837957183"
"54","2052","14","0.0319757019107958"
"54","2052","15","0.030609704930813"
"54","2052","16","0.0293069806947448"
"54","2052","17","0.0280640345792071"
"54","2052","18","0.026760412420692"
"54","2052","19","0.0257243619810146"
"54","2052","20","0.024557454148921"
"54","2052","21","0.0234532504673644"
"54","2052","22","0.0225596803032999"
"54","2052","23","0.0217077067552784"
"54","2052","24","0.0208368888979632"
"54","2052","25","0.0197889762192387"
"54","2052","26","0.0185022515851294"
"54","2052","27","0.0172998837816831"
"54","2052","28","0.0160726044479901"
"54","2052","29","0.0146825594470014"
"54","2052","30","0.0664686612326881"
"54","2053","0","0.0438780529774993"
"54","2053","1","0.0436556469079711"
"54","2053","2","0.0434234644875135"
"54","2053","3","0.0430050987945884"
"54","2053","4","0.0425247727565421"
"54","2053","5","0.0420176358008452"
"54","2053","6","0.0413853234176414"
"54","2053","7","0.040629886172285"
"54","2053","8","0.039742530630259"
"54","2053","9","0.0388493378095816"
"54","2053","10","0.0379549343358261"
"54","2053","11","0.0366803409570693"
"54","2053","12","0.0353893507045954"
"54","2053","13","0.0338601204651597"
"54","2053","14","0.0322919212966998"
"54","2053","15","0.0308375089310985"
"54","2053","16","0.0293332521731598"
"54","2053","17","0.0280848527320333"
"54","2053","18","0.026722397616601"
"54","2053","19","0.025481096777859"
"54","2053","20","0.0243375196140181"
"54","2053","21","0.023233521688927"
"54","2053","22","0.0221888474312103"
"54","2053","23","0.0212057161578801"
"54","2053","24","0.0204048754992151"
"54","2053","25","0.0195863215100109"
"54","2053","26","0.0184804818905819"
"54","2053","27","0.0172788385597003"
"54","2053","28","0.0161559741845435"
"54","2053","29","0.0149117164863963"
"54","2053","30","0.0664686612326881"
"54","2054","0","0.0438780529774993"
"54","2054","1","0.0436655796342459"
"54","2054","2","0.0434442505350467"
"54","2054","3","0.0432131924255321"
"54","2054","4","0.0427968526100434"
"54","2054","5","0.0420586976257504"
"54","2054","6","0.0413000665749136"
"54","2054","7","0.0406785527028282"
"54","2054","8","0.0396874542083637"
"54","2054","9","0.0388206813532451"
"54","2054","10","0.0379482066182788"
"54","2054","11","0.0368423500747478"
"54","2054","12","0.0356051192301989"
"54","2054","13","0.0341354698273397"
"54","2054","14","0.0326604217787601"
"54","2054","15","0.0311477855101531"
"54","2054","16","0.0295562490676939"
"54","2054","17","0.0281144922935414"
"54","2054","18","0.0267461468672543"
"54","2054","19","0.0254486351813258"
"54","2054","20","0.0241106164367264"
"54","2054","21","0.0230285456529002"
"54","2054","22","0.0219839253702309"
"54","2054","23","0.0208596928027361"
"54","2054","24","0.0199354529831597"
"54","2054","25","0.0191825842199001"
"54","2054","26","0.0182932387443725"
"54","2054","27","0.0172604063076712"
"54","2054","28","0.0161380950903165"
"54","2054","29","0.014990524062536"
"54","2054","30","0.0664686612326881"
"54","2055","0","0.0438780529774993"
"54","2055","1","0.0436686458472164"
"54","2055","2","0.0434571865287442"
"54","2055","3","0.0432369137182444"
"54","2055","4","0.0430069583289364"
"54","2055","5","0.0423302430751591"
"54","2055","6","0.0413422988741135"
"54","2055","7","0.0405965898196402"
"54","2055","8","0.0397362860278268"
"54","2055","9","0.0387681450630906"
"54","2055","10","0.0379214498931871"
"54","2055","11","0.0368365453184662"
"54","2055","12","0.0357630839269632"
"54","2055","13","0.0343438226031496"
"54","2055","14","0.0329262349227294"
"54","2055","15","0.0315034398413813"
"54","2055","16","0.0298534392760161"
"54","2055","17","0.0283280391307943"
"54","2055","18","0.0267738410736535"
"54","2055","19","0.0254707457662669"
"54","2055","20","0.0240790958011005"
"54","2055","21","0.0228130836434616"
"54","2055","22","0.0217892453950968"
"54","2055","23","0.0206660716473148"
"54","2055","24","0.0196092325980177"
"54","2055","25","0.0187403974828599"
"54","2055","26","0.0179150624903423"
"54","2055","27","0.0170844820228237"
"54","2055","28","0.0161198957380226"
"54","2055","29","0.0149728099351936"
"54","2055","30","0.0664686612326881"
"54","2056","0","0.0438780529774993"
"54","2056","1","0.0436673166473601"
"54","2056","2","0.0434589152519981"
"54","2056","3","0.043248471524641"
"54","2056","4","0.0430292566344582"
"54","2056","5","0.0425362585405457"
"54","2056","6","0.0416069589619135"
"54","2056","7","0.0406358954658552"
"54","2056","8","0.039653585382388"
"54","2056","9","0.0388132652960206"
"54","2056","10","0.037867612949902"
"54","2056","11","0.0368076718521938"
"54","2056","12","0.0357546316417128"
"54","2056","13","0.034493042975894"
"54","2056","14","0.0331241833457708"
"54","2056","15","0.0317569379235726"
"54","2056","16","0.0301911770806996"
"54","2056","17","0.0286099066066494"
"54","2056","18","0.0269740566004416"
"54","2056","19","0.02549414384799"
"54","2056","20","0.0240968916331989"
"54","2056","21","0.0227803051967556"
"54","2056","22","0.0215825798514169"
"54","2056","23","0.0204801371720261"
"54","2056","24","0.0194244442370257"
"54","2056","25","0.0184311005802863"
"54","2056","26","0.0174993619815"
"54","2056","27","0.0167286827147836"
"54","2056","28","0.0159531053414026"
"54","2056","29","0.0149533885514099"
"54","2056","30","0.0664686612326881"
