"Index","Year","GeoID_WFRC","County_FIPS","GeoID_text","roadType","dummy","veh_11","veh_21","veh_31","veh_32","veh_41","veh_42","veh_43","veh_51","veh_52","veh_53","veh_54","veh_61","veh_62","Total"
" BV_2020","2020","0","1","BV","55","2020","0.00237","0.42367","0.51926","0.0435","0.00025","0.00009","0.00013","0.00004","0.00244","0.00015","0.00018","0.00231","0.00561","1"
" BV_2021","2021","0","1","BV","4","2021","0.00182","0.33509","0.3904","0.03286","0.00532","0.00198","0.00276","0.00081","0.05213","0.00322","0.00377","0.04921","0.12063","1"
" BV_2021","2021","0","1","BV","5","2021","0.00215","0.39579","0.46118","0.03882","0.00227","0.00084","0.00118","0.00035","0.02218","0.00137","0.00161","0.02094","0.05132","1"
" BV_2021","2021","0","1","BV","55","2021","0.00236","0.43578","0.50774","0.04273","0.00025","0.00009","0.00013","0.00004","0.00248","0.00015","0.00018","0.00234","0.00573","1"
" BV_2022","2022","0","1","BV","4","2022","0.00182","0.33509","0.3904","0.03286","0.00532","0.00198","0.00276","0.00081","0.05213","0.00322","0.00377","0.04921","0.12063","1"
" BV_2022","2022","0","1","BV","5","2022","0.00215","0.39579","0.46118","0.03882","0.00227","0.00084","0.00118","0.00035","0.02218","0.00137","0.00161","0.02094","0.05132","1"
" BV_2022","2022","0","1","BV","55","2022","0.00236","0.43578","0.50774","0.04273","0.00025","0.00009","0.00013","0.00004","0.00248","0.00015","0.00018","0.00234","0.00573","1"
" BV_2023","2023","0","1","BV","4","2023","0.00183","0.32879","0.39982","0.03348","0.00525","0.00193","0.00273","0.00079","0.05121","0.00317","0.0037","0.04881","0.11849","1"
" BV_2023","2023","0","1","BV","5","2023","0.00216","0.38728","0.47096","0.03944","0.00223","0.00082","0.00116","0.00034","0.02173","0.00135","0.00157","0.0207","0.05026","1"
" BV_2023","2023","0","1","BV","55","2023","0.00237","0.42559","0.51754","0.04334","0.00025","0.00009","0.00013","0.00004","0.00242","0.00015","0.00017","0.00231","0.0056","1"
" BV_2024","2024","0","1","BV","4","2024","0.00184","0.32092","0.4078","0.03397","0.00525","0.00192","0.00273","0.00079","0.05112","0.00317","0.0037","0.04906","0.11773","1"
" BV_2024","2024","0","1","BV","5","2024","0.00216","0.37786","0.48014","0.04","0.00222","0.00081","0.00116","0.00033","0.02168","0.00135","0.00157","0.0208","0.04992","1"
" BV_2024","2024","0","1","BV","55","2024","0.00238","0.4151","0.52746","0.04394","0.00025","0.00009","0.00013","0.00004","0.00241","0.00015","0.00017","0.00232","0.00556","1"
" BV_2025","2025","0","1","BV","4","2025","0.00184","0.31195","0.41509","0.03441","0.00529","0.00192","0.00275","0.00079","0.05156","0.00321","0.00372","0.04981","0.11766","1"
" BV_2025","2025","0","1","BV","5","2025","0.00217","0.36764","0.48918","0.04055","0.00224","0.00081","0.00117","0.00034","0.02188","0.00136","0.00158","0.02114","0.04994","1"
" BV_2025","2025","0","1","BV","55","2025","0.00239","0.40412","0.53772","0.04457","0.00025","0.00009","0.00013","0.00004","0.00244","0.00015","0.00018","0.00236","0.00556","1"
" BV_2026","2026","0","1","BV","4","2026","0.00184","0.30306","0.42208","0.03483","0.00533","0.00192","0.00278","0.0008","0.05206","0.00324","0.00377","0.05037","0.11792","1"
" BV_2026","2026","0","1","BV","5","2026","0.00218","0.35755","0.49797","0.04109","0.00227","0.00082","0.00118","0.00034","0.02212","0.00138","0.0016","0.0214","0.0501","1"
" BV_2026","2026","0","1","BV","55","2026","0.00239","0.39333","0.54779","0.0452","0.00025","0.00009","0.00013","0.00004","0.00247","0.00015","0.00018","0.00239","0.00559","1"
" BV_2027","2027","0","1","BV","4","2027","0.00185","0.29468","0.42929","0.03526","0.00536","0.00192","0.00279","0.0008","0.05242","0.00326","0.0038","0.05074","0.11783","1"
" BV_2027","2027","0","1","BV","5","2027","0.00218","0.34787","0.50676","0.04162","0.00228","0.00081","0.00119","0.00034","0.02228","0.00139","0.00162","0.02157","0.05009","1"
" BV_2027","2027","0","1","BV","55","2027","0.0024","0.38281","0.55766","0.0458","0.00025","0.00009","0.00013","0.00004","0.00249","0.00015","0.00018","0.00241","0.00559","1"
" BV_2028","2028","0","1","BV","4","2028","0.00185","0.28661","0.43627","0.03568","0.00539","0.00191","0.00281","0.00081","0.0528","0.00329","0.00385","0.05099","0.11774","1"
" BV_2028","2028","0","1","BV","5","2028","0.00219","0.33851","0.51526","0.04214","0.00229","0.00081","0.00119","0.00034","0.02246","0.0014","0.00164","0.02169","0.05008","1"
" BV_2028","2028","0","1","BV","55","2028","0.00241","0.37261","0.56721","0.04639","0.00026","0.00009","0.00013","0.00004","0.00251","0.00016","0.00018","0.00242","0.00559","1"
" BV_2029","2029","0","1","BV","4","2029","0.00186","0.27885","0.44312","0.0361","0.00542","0.00191","0.00282","0.00081","0.05327","0.00331","0.00389","0.0511","0.11754","1"
" BV_2029","2029","0","1","BV","5","2029","0.00219","0.32946","0.52355","0.04265","0.00231","0.00081","0.0012","0.00035","0.02266","0.00141","0.00166","0.02174","0.05001","1"
" BV_2029","2029","0","1","BV","55","2029","0.00241","0.36276","0.57647","0.04696","0.00026","0.00009","0.00013","0.00004","0.00253","0.00016","0.00018","0.00243","0.00558","1"
" BV_2030","2030","0","1","BV","4","2030","0.00186","0.27151","0.44954","0.03648","0.00545","0.0019","0.00283","0.00083","0.05387","0.00334","0.00395","0.05113","0.11731","1"
" BV_2030","2030","0","1","BV","5","2030","0.0022","0.3209","0.53135","0.04312","0.00232","0.00081","0.00121","0.00035","0.02293","0.00142","0.00168","0.02177","0.04994","1"
" BV_2030","2030","0","1","BV","55","2030","0.00242","0.35343","0.58522","0.0475","0.00026","0.00009","0.00013","0.00004","0.00256","0.00016","0.00019","0.00243","0.00557","1"
" BV_2031","2031","0","1","BV","4","2031","0.00186","0.26442","0.45543","0.03684","0.00549","0.0019","0.00285","0.00084","0.05463","0.00338","0.00402","0.05119","0.11715","1"
" BV_2031","2031","0","1","BV","5","2031","0.0022","0.31273","0.53865","0.04357","0.00234","0.00081","0.00122","0.00036","0.02327","0.00144","0.00171","0.0218","0.0499","1"
" BV_2031","2031","0","1","BV","55","2031","0.00243","0.34456","0.59351","0.04801","0.00026","0.00009","0.00014","0.00004","0.0026","0.00016","0.00019","0.00244","0.00557","1"
" BV_2032","2032","0","1","BV","4","2032","0.00186","0.2576","0.46055","0.03713","0.00554","0.00191","0.00288","0.00086","0.05556","0.00344","0.00412","0.05134","0.11721","1"
" BV_2032","2032","0","1","BV","5","2032","0.00221","0.30498","0.54529","0.04396","0.00236","0.00081","0.00123","0.00037","0.02369","0.00147","0.00176","0.02189","0.04998","1"
" BV_2032","2032","0","1","BV","55","2032","0.00243","0.33628","0.60124","0.04847","0.00026","0.00009","0.00014","0.00004","0.00265","0.00016","0.0002","0.00245","0.00559","1"
" BV_2033","2033","0","1","BV","4","2033","0.00187","0.25146","0.46562","0.03743","0.00558","0.00191","0.0029","0.00088","0.05634","0.00348","0.00421","0.05139","0.11693","1"
" BV_2033","2033","0","1","BV","5","2033","0.00221","0.29788","0.55161","0.04435","0.00238","0.00082","0.00124","0.00038","0.02404","0.00148","0.0018","0.02192","0.04989","1"
" BV_2033","2033","0","1","BV","55","2033","0.00244","0.32857","0.60844","0.04892","0.00027","0.00009","0.00014","0.00004","0.00269","0.00017","0.0002","0.00245","0.00558","1"
" BV_2034","2034","0","1","BV","4","2034","0.00187","0.24587","0.47049","0.03773","0.00561","0.00192","0.00291","0.0009","0.05704","0.00352","0.0043","0.05136","0.11648","1"
" BV_2034","2034","0","1","BV","5","2034","0.00221","0.2914","0.55755","0.04471","0.00239","0.00082","0.00124","0.00038","0.02434","0.0015","0.00183","0.02192","0.04971","1"
" BV_2034","2034","0","1","BV","55","2034","0.00244","0.32147","0.61512","0.04932","0.00027","0.00009","0.00014","0.00004","0.00272","0.00017","0.00021","0.00245","0.00556","1"
" BV_2035","2035","0","1","BV","4","2035","0.00187","0.24078","0.47473","0.03799","0.00564","0.00192","0.00293","0.00091","0.05779","0.00356","0.00437","0.05133","0.11618","1"
" BV_2035","2035","0","1","BV","5","2035","0.00222","0.28545","0.56283","0.04504","0.00241","0.00082","0.00125","0.00039","0.02467","0.00152","0.00187","0.02192","0.04961","1"
" BV_2035","2035","0","1","BV","55","2035","0.00245","0.31502","0.62114","0.04971","0.00027","0.00009","0.00014","0.00004","0.00276","0.00017","0.00021","0.00245","0.00555","1"
" BV_2036","2036","0","1","BV","4","2036","0.00187","0.23627","0.47844","0.03824","0.00567","0.00192","0.00294","0.00093","0.05852","0.0036","0.00443","0.05121","0.11596","1"
" BV_2036","2036","0","1","BV","5","2036","0.00222","0.28023","0.56747","0.04535","0.00242","0.00082","0.00126","0.0004","0.025","0.00154","0.00189","0.02187","0.04953","1"
" BV_2036","2036","0","1","BV","55","2036","0.00245","0.30935","0.62642","0.05007","0.00027","0.00009","0.00014","0.00004","0.0028","0.00017","0.00021","0.00245","0.00554","1"
" BV_2037","2037","0","1","BV","4","2037","0.00187","0.23229","0.48158","0.03845","0.00569","0.00192","0.00296","0.00095","0.05924","0.00364","0.0045","0.05095","0.11596","1"
" BV_2037","2037","0","1","BV","5","2037","0.00222","0.27562","0.57148","0.04562","0.00243","0.00082","0.00127","0.00041","0.02532","0.00155","0.00192","0.02178","0.04956","1"
" BV_2037","2037","0","1","BV","55","2037","0.00245","0.30436","0.63105","0.05038","0.00027","0.00009","0.00014","0.00005","0.00283","0.00017","0.00022","0.00244","0.00555","1"
" BV_2038","2038","0","1","BV","4","2038","0.00187","0.22883","0.48439","0.03865","0.00571","0.00192","0.00298","0.00096","0.05992","0.00368","0.00456","0.05076","0.11577","1"
" BV_2038","2038","0","1","BV","5","2038","0.00222","0.27164","0.575","0.04588","0.00244","0.00082","0.00127","0.00041","0.02561","0.00157","0.00195","0.0217","0.04949","1"
" BV_2038","2038","0","1","BV","55","2038","0.00246","0.3","0.63508","0.05067","0.00027","0.00009","0.00014","0.00005","0.00287","0.00018","0.00022","0.00243","0.00554","1"
" BV_2039","2039","0","1","BV","4","2039","0.00187","0.22596","0.48674","0.03883","0.00573","0.00193","0.003","0.00097","0.06058","0.00372","0.00464","0.05054","0.11549","1"
" BV_2039","2039","0","1","BV","5","2039","0.00223","0.2683","0.57793","0.04611","0.00245","0.00082","0.00128","0.00042","0.0259","0.00159","0.00198","0.02161","0.04938","1"
" BV_2039","2039","0","1","BV","55","2039","0.00246","0.29638","0.63843","0.05093","0.00027","0.00009","0.00014","0.00005","0.0029","0.00018","0.00022","0.00242","0.00553","1"
" BV_2040","2040","0","1","BV","4","2040","0.00188","0.2234","0.48885","0.03899","0.00575","0.00193","0.00301","0.00099","0.06125","0.00376","0.00472","0.05036","0.11511","1"
" BV_2040","2040","0","1","BV","5","2040","0.00223","0.26531","0.58056","0.0463","0.00246","0.00083","0.00129","0.00042","0.0262","0.00161","0.00202","0.02154","0.04923","1"
" BV_2040","2040","0","1","BV","55","2040","0.00246","0.29313","0.64143","0.05116","0.00028","0.00009","0.00014","0.00005","0.00293","0.00018","0.00023","0.00241","0.00551","1"
" BV_2041","2041","0","1","BV","4","2041","0.00188","0.22102","0.49076","0.03913","0.00578","0.00193","0.00302","0.001","0.06196","0.00381","0.00479","0.05023","0.11469","1"
" BV_2041","2041","0","1","BV","5","2041","0.00223","0.26255","0.58297","0.04649","0.00247","0.00083","0.00129","0.00043","0.02651","0.00163","0.00205","0.02149","0.04906","1"
" BV_2041","2041","0","1","BV","55","2041","0.00246","0.29013","0.64419","0.05137","0.00028","0.00009","0.00014","0.00005","0.00297","0.00018","0.00023","0.00241","0.0055","1"
" BV_2042","2042","0","1","BV","4","2042","0.00188","0.21895","0.49247","0.03928","0.00579","0.00194","0.00304","0.001","0.06264","0.00385","0.00484","0.05012","0.1142","1"
" BV_2042","2042","0","1","BV","5","2042","0.00223","0.26016","0.58509","0.04666","0.00248","0.00083","0.0013","0.00043","0.0268","0.00165","0.00207","0.02144","0.04886","1"
" BV_2042","2042","0","1","BV","55","2042","0.00247","0.28751","0.6466","0.05157","0.00028","0.00009","0.00015","0.00005","0.003","0.00018","0.00023","0.0024","0.00547","1"
" BV_2043","2043","0","1","BV","4","2043","0.00188","0.21701","0.49417","0.03942","0.00582","0.00194","0.00304","0.00101","0.06328","0.00389","0.00491","0.05","0.11363","1"
" BV_2043","2043","0","1","BV","5","2043","0.00223","0.25785","0.58717","0.04684","0.00249","0.00083","0.0013","0.00043","0.02708","0.00166","0.0021","0.0214","0.04862","1"
" BV_2043","2043","0","1","BV","55","2043","0.00247","0.28496","0.64893","0.05176","0.00028","0.00009","0.00015","0.00005","0.00303","0.00019","0.00024","0.0024","0.00545","1"
" BV_2044","2044","0","1","BV","4","2044","0.00188","0.21519","0.49594","0.03956","0.00583","0.00194","0.00305","0.00102","0.06389","0.00393","0.00497","0.04984","0.11296","1"
" BV_2044","2044","0","1","BV","5","2044","0.00223","0.25565","0.58923","0.04701","0.00249","0.00083","0.0013","0.00044","0.02734","0.00168","0.00213","0.02133","0.04834","1"
" BV_2044","2044","0","1","BV","55","2044","0.00247","0.28253","0.65119","0.05195","0.00028","0.00009","0.00015","0.00005","0.00306","0.00019","0.00024","0.00239","0.00541","1"
" BV_2045","2045","0","1","BV","4","2045","0.00188","0.21344","0.49782","0.03972","0.00584","0.00194","0.00305","0.00103","0.0645","0.00397","0.00502","0.04961","0.11218","1"
" BV_2045","2045","0","1","BV","5","2045","0.00224","0.25351","0.59133","0.04719","0.0025","0.00083","0.00131","0.00044","0.02759","0.0017","0.00215","0.02122","0.04799","1"
" BV_2045","2045","0","1","BV","55","2045","0.00247","0.28014","0.65341","0.05214","0.00028","0.00009","0.00015","0.00005","0.00309","0.00019","0.00024","0.00238","0.00537","1"
" BV_2046","2046","0","1","BV","4","2046","0.00188","0.21196","0.49949","0.03988","0.00586","0.00194","0.00305","0.00104","0.06515","0.00401","0.00507","0.04938","0.11129","1"
" BV_2046","2046","0","1","BV","5","2046","0.00224","0.25169","0.59316","0.04736","0.0025","0.00083","0.00131","0.00045","0.02786","0.00171","0.00217","0.02112","0.0476","1"
" BV_2046","2046","0","1","BV","55","2046","0.00247","0.27808","0.65531","0.05232","0.00028","0.00009","0.00015","0.00005","0.00312","0.00019","0.00024","0.00237","0.00533","1"
" BV_2047","2047","0","1","BV","4","2047","0.00189","0.21046","0.50123","0.04005","0.00586","0.00194","0.00306","0.00105","0.06579","0.00405","0.00513","0.04909","0.1104","1"
" BV_2047","2047","0","1","BV","5","2047","0.00224","0.24984","0.59503","0.04755","0.00251","0.00083","0.00131","0.00045","0.02813","0.00173","0.00219","0.02099","0.0472","1"
" BV_2047","2047","0","1","BV","55","2047","0.00247","0.27597","0.65725","0.05252","0.00028","0.00009","0.00015","0.00005","0.00315","0.00019","0.00025","0.00235","0.00528","1"
" BV_2048","2048","0","1","BV","4","2048","0.00189","0.20912","0.50305","0.04024","0.00586","0.00194","0.00306","0.00106","0.06634","0.00408","0.00518","0.04865","0.10953","1"
" BV_2048","2048","0","1","BV","5","2048","0.00224","0.24812","0.59689","0.04775","0.00251","0.00083","0.00131","0.00045","0.02835","0.00175","0.00221","0.02079","0.0468","1"
