"yearID","countyID","sourceTypeID","activitytypeID","activitytype","activity"
"2029","49055","52","6","population","255"
"2029","49055","51","6","population","2"
"2029","49055","43","6","population","13"
"2029","49055","42","6","population","2"
"2029","49055","41","6","population","8"
"2029","49055","32","6","population","272"
"2029","49055","31","6","population","3504"
"2029","49055","21","6","population","1383"
"2029","49055","11","6","population","213"
"2028","49055","62","6","population","26"
"2028","49055","61","6","population","54"
"2028","49055","54","6","population","35"
"2028","49055","53","6","population","11"
"2028","49055","52","6","population","249"
"2028","49055","51","6","population","2"
"2028","49055","43","6","population","13"
"2028","49055","42","6","population","2"
"2028","49055","41","6","population","8"
"2028","49055","32","6","population","266"
"2028","49055","31","6","population","3431"
"2028","49055","21","6","population","1416"
"2028","49055","11","6","population","212"
"2027","49055","62","6","population","26"
"2027","49055","61","6","population","53"
"2027","49055","54","6","population","34"
"2027","49055","53","6","population","11"
"2027","49055","52","6","population","242"
"2027","49055","51","6","population","2"
"2027","49055","43","6","population","13"
"2027","49055","42","6","population","2"
"2027","49055","41","6","population","8"
"2027","49055","32","6","population","260"
"2027","49055","31","6","population","3359"
"2027","49055","21","6","population","1449"
"2027","49055","11","6","population","211"
"2026","49055","62","6","population","25"
"2026","49055","61","6","population","52"
"2026","49055","54","6","population","33"
"2026","49055","53","6","population","10"
"2026","49055","52","6","population","236"
"2026","49055","51","6","population","2"
"2026","49055","43","6","population","12"
"2026","49055","42","6","population","2"
"2026","49055","41","6","population","7"
"2026","49055","32","6","population","255"
"2026","49055","31","6","population","3284"
"2026","49055","21","6","population","1482"
"2026","49055","11","6","population","211"
"2025","49055","62","6","population","25"
"2025","49055","61","6","population","51"
"2025","49055","54","6","population","32"
"2025","49055","53","6","population","10"
"2025","49055","52","6","population","229"
"2025","49055","51","6","population","1"
"2025","49055","43","6","population","12"
"2025","49055","42","6","population","2"
"2025","49055","41","6","population","7"
"2025","49055","32","6","population","249"
"2025","49055","31","6","population","3208"
"2025","49055","21","6","population","1513"
"2025","49055","11","6","population","209"
"2024","49055","62","6","population","25"
"2024","49055","61","6","population","50"
"2024","49055","54","6","population","31"
"2024","49055","53","6","population","10"
"2024","49055","52","6","population","223"
"2024","49055","51","6","population","1"
"2024","49055","43","6","population","12"
"2024","49055","42","6","population","2"
"2024","49055","41","6","population","7"
"2024","49055","32","6","population","243"
"2024","49055","31","6","population","3134"
"2024","49055","21","6","population","1544"
"2024","49055","11","6","population","208"
"2023","49055","62","6","population","24"
"2023","49055","61","6","population","50"
"2023","49055","54","6","population","30"
"2023","49055","53","6","population","9"
"2023","49055","52","6","population","216"
"2023","49055","51","6","population","1"
"2023","49055","43","6","population","12"
"2023","49055","42","6","population","2"
"2023","49055","41","6","population","7"
"2023","49055","32","6","population","238"
"2023","49055","31","6","population","3065"
"2023","49055","21","6","population","1574"
"2023","49055","11","6","population","208"
"2022","49055","62","6","population","24"
"2022","49055","61","6","population","49"
"2022","49055","54","6","population","29"
"2022","49055","53","6","population","9"
"2022","49055","52","6","population","211"
"2022","49055","51","6","population","1"
"2022","49055","43","6","population","11"
"2022","49055","42","6","population","2"
"2022","49055","41","6","population","7"
"2022","49055","32","6","population","233"
"2022","49055","31","6","population","3005"
"2022","49055","21","6","population","1606"
"2022","49055","11","6","population","207"
"2021","49055","62","6","population","24"
"2021","49055","61","6","population","48"
"2021","49055","54","6","population","28"
"2021","49055","53","6","population","9"
"2021","49055","52","6","population","204"
"2021","49055","51","6","population","1"
"2021","49055","43","6","population","11"
"2021","49055","42","6","population","2"
"2021","49055","41","6","population","7"
"2021","49055","32","6","population","226"
"2021","49055","31","6","population","2917"
"2021","49055","21","6","population","1640"
"2021","49055","11","6","population","206"
"2020","49055","62","6","population","22"
"2020","49055","61","6","population","46"
"2020","49055","54","6","population","26"
"2020","49055","53","6","population","8"
"2020","49055","52","6","population","189"
"2020","49055","51","6","population","1"
"2020","49055","43","6","population","11"
"2020","49055","42","6","population","2"
"2020","49055","41","6","population","7"
"2020","49055","32","6","population","217"
"2020","49055","31","6","population","2801"
"2020","49055","21","6","population","1674"
"2020","49055","11","6","population","174"
"2019","49055","62","6","population","22"
"2019","49055","61","6","population","45"
"2019","49055","54","6","population","27"
"2019","49055","53","6","population","8"
"2019","49055","52","6","population","193"
"2019","49055","51","6","population","1"
"2019","49055","43","6","population","11"
"2019","49055","42","6","population","2"
"2019","49055","41","6","population","6"
"2019","49055","32","6","population","212"
"2019","49055","31","6","population","2740"
"2019","49055","21","6","population","1728"
"2019","49055","11","6","population","179"
"2018","49055","62","6","population","22"
"2018","49055","61","6","population","44"
"2018","49055","54","6","population","28"
"2018","49055","53","6","population","9"
"2018","49055","52","6","population","196"
"2018","49055","51","6","population","1"
"2018","49055","43","6","population","11"
"2018","49055","42","6","population","2"
"2018","49055","41","6","population","6"
"2018","49055","32","6","population","208"
"2018","49055","31","6","population","2681"
"2018","49055","21","6","population","1729"
"2018","49055","11","6","population","180"
"2017","49055","62","6","population","22"
"2017","49055","61","6","population","44"
"2017","49055","54","6","population","26"
"2017","49055","53","6","population","8"
"2017","49055","52","6","population","176"
"2017","49055","51","6","population","1"
"2017","49055","43","6","population","11"
"2017","49055","42","6","population","2"
"2017","49055","41","6","population","6"
